kor_sentence,labels
"기아, 코로나에 작년 글로벌 공장 가동률 75%…2011년 이후 최저(종합)",2
" ""한번 더 속아줘?"" 아이폰15 기대감 부푸는 LG이노텍",0
"LG, 상속회복청구 소송 소식에 2거래일 연속 상승",1
"구영테크, 주당 30원 결산배당 결정[주목 e공시]",0
SVB 사태에 美 국채·금 등 안전자산 '쏠림'…공포지수↑,2
"""코오롱인더, 올 하반기부터 내년까지 증설 모멘텀 기대""-키움",1
"""풍산, 비철금속 업체아닌 방산업체로 봐야…목표가↑""-신한",0
SVB 사태에 안전자산 수요 급증…금 관련주 '급등',1
"현대차증권, 자산관리 컨설팅 지원 시스템 구축",0
"LB인베스트먼트 ""글로벌 벤처투자 명가로 도약…5년 내 AUM 2조 목표""",0
"영우디에스피, AI 서빙 로봇 '서빙고' 선보여…출하식 개최",0
공매도 빗장 풀리니 '와르르'…LG엔솔 '또' 신저가 [증시프리즘],2
"""美 지원책 못 믿겠다""...외인 투매에 급락 [증시프리즘]",2
 원·달러 환율 6.1원 내린 1305원 개장,0
"우크라 긴장 완화 기대감에 환율 하락…장 초반 1,240원선 공방",0
죽다 살아난 글로벌 자동차 업계 [해외주식 길라잡이],0
"'엠버 그룹 투자' 락엑스(RockX), 신규 리퀴드 스테이킹 플랫폼 공개",0
"딥노이드, 노코딩 AI 개발 플랫폼 '딥파이' 내달 정식 서비스",0
3년간 부정거래 55건 적발…내부자 거래 45건 최다,0
[코스피·코스닥 전 거래일(15일) 주요공시],0
비트코인의 진격…국내 가상화폐 시총 3년 새 10배로,1
"""LG이노텍, 구조적 이익 성장의 초입 국면""-KB",1
"""사우디와 손잡았다""...'아기상어' 삼성출판사, 장 초반 강세",1
"한국철강, 자사주 소각 공시에 강세",1
 초고수들 로봇주에 집중…로보티즈 사고 레인보우로보틱스 팔고,0
"비보존 헬스케어, 화장품 사업 본격 시작…비건 브랜드 출시",0
"환율, 7.1원 내린 1,235.7원 마감…나흘만에 하락",0
"""CS, 70조 자금 확보""…코스피, '약보합' 마감",0
[코스피·코스닥 전 거래일(16일) 주요공시],0
"SK하이닉스, 실적 나쁠수록 더 좋다?…BNK證 ""저가매수 기회""",0
"FOMC 예상 부합 평가 속 환율 10원 넘게 떨어져 1,220원대",0
"""외국인 차익실현 본격화""…2차전지株 약세",2
" 원/달러 환율 21.4원 내린 1,214.3원(마감)",0
(마감)코스피 기관 5338억 매도 우위,2
"이순호 예탁원 사장, 20일 취임식…노조 ""출근 저지 종료""",0
" SK하이닉스, 소폭 약세…시총 2위는 유지",2
모건스탠리 비트코인 펀드 출시 소식에 가상화폐 관련주 '강세',1
"코스피, 2,700선 회복…원·달러환율 1,207.60원 마감",1
"신성이엔지-탑솔라-하나은행, 그린뉴딜사업 업무협약",0
"""10억 벌고 퇴사"" 직장인 술렁이게 한 회사, 내부정보 거래의혹",0
"신한금융투자, 신한 중국본토 중소형주 펀드 판매",0
"""삼성전자, 반도체 업황 최악에 근접 중…주가 하락시 매수 전략 유효""-하이",2
"이브 라 로즈 ""이오스 네트워크 벤쳐스, 이오스 EVM·게임파이에 2000만달러 투자""",0
"주기영 크립토퀀트 대표 ""비트코인, 강세장 진입""",1
"골드만삭스 ""美 연준, 이번 FOMC서 기준금리 동결 예상""",0
"""러시아발 전쟁 여파에 해상풍력 확대 붐…수혜기업은?""-유진",1
"한국투자증권, 퇴직연금 디폴트옵션 이벤트 진행",0
"""다 오르고 후회하지 말고…"" 삼성전자에 베팅하는 개미들",0
"""애플페이 상륙했지만 영향력 '글쎄'""…관련주 약세",2
"거래소, '2022년도 컴플라이언스 대상' 시상식…대상에 키움증권",0
(마감)코스피 외국인 4871억 순매도,2
월가도 비트코인 열풍…코인 르네상스 주도할까,0
"금감원, 5대 코인거래소 대표 첫 소집…가상자산 제도권 '성큼'",0
"""LG엔솔 목표가 52만원…글로벌 업계 평균 수준으로 회복할 것""-신한",1
"휠라홀딩스, 지난해 매출 4조원 달성…영업이익은 11.7% 감소",0
안철수 국무총리설에…4거래일만에 36% 넘게 뛴 '이 종목',1
"""SK바사, 따상상 간다길래 300주 샀는데…계좌 증발할 판"" [이슈+]",0
(마감)코스피 기관 2844억 매수 우위,1
"자율주행 장착한 만도…""재평가 이제 시동""",0
오스템임플란트 2차 공개매수 돌입…상폐 초읽기,0
" 8위서 1위로…김남귀, 한일사료 업고 '역전 드라마'",0
"효성티앤씨, '깜찍 실적' 전망에 주가 5%대 '상승'",1
"차바이오텍, 에스씨엠생명과학 세포치료제 위탁생산 계약",1
곡물가 급등에 사료주 고공행진…현대사료 상한가,1
"엠투엔, 신한전기 흡수합병 이사회 승인[주목 e공시]",0
"'반토막' 메지온, 전환사채에 발목 잡히나…'무증'까지 나서",0
"코스피, 美금리 하락에도 1% 넘게 내려…LG화학 3.7%↓",2
"환율 하루만에 30원 '급락'…""美 금리 인상 종료 기대""",0
패키지기판 업체 앞다퉈 증설…소·부·장 신났다,1
"코스피, 물가 상승 우려에 하락…2,716.61 출발",2
물적분할 청사진 공개 DB하이텍…주가는 '환호',1
"포스코건설, 1천400억원 규모 ESG 채권 발행",0
"키움증권, 해외주식 양도소득세 무료 신고대행 서비스 실시",0
"비트코인, 美 금리인상 여파로 약세 ""2만8500달러 돌파시 재상승"" [강민승의 트레이드나우]",2
"한송네오텍, 감사의견 거절…""이의신청 통해 해소할 예정”",0
"""전기차 배터리 가격 18% 오른다""…골드만삭스의 전망",1
NFT로 가져보는 '기아 EV',0
"효성티앤씨, 1분기 '어닝 서프라이즈' 기대감에 강세",1
" 한솔케미칼, 올해 사상최대 실적 전망에 '강세'",1
(마감)프로그램 3003억 매도 우위,2
"트윗 한줄 33억원, NBA 장면이 2억원…NFT 뭐길래?",0
"美은행권 사태 여진에 촉각…""제2의 2차전지주 찾아라"" [주간전망]",0
"쌍용차 주식 휴지조각 되나…""1000억 날릴 판"" 주주들 패닉 [분석+]",2
'속절없는 리츠 주가'…한화리츠 공모가 밑으로 '뚝',0
"미래에셋증권, 한국거래소 ETN LP 평가서 단독 'A 등급'",1
" 원/달러 환율 7.2원 오른 1,301.5원(마감)",1
"""억소리 나는 임대수익"" 삼성FN리츠, 이름값할까…수익구조 살펴보니",0
[코스피·코스닥 전 거래일(25일) 주요공시],0
"바이낸스 CEO, 시세 조종 혐의 부인…""시장 조작한 적 없어""",0
에디슨EV·유앤아이 급락… 쌍용차 인수 최종 불발,2
"현대로템, 한국철도공사와 7100억 규모 계약 체결[주목 e공시]",1
"카카오, 윤석·최세정·신선경·박새롬 사외이사 선임[주목 e공시]",0
(마감)코스피 기관 761억 매수 우위,1
우주항공청 설립에 우주여행까지…'호재만발'로 관련주 '들썩',1
"LG에너지솔루션, 美 전기차 시장 개화에 따른 수혜주 '부각'-대신",1
"더블유게임즈, 71억 규모 자사주 소각 결정[주목 e공시]",0
"""블록체인·반도체 집중 투자""…SK스퀘어 연이틀 강세",1
"""한샘 자사주 남용해 지배력 강화...자사주 소각하라""",0
"신한금융투자, 이스트스프링 미국 자문형랩 출시",0
"신한금융투자, 이스트스프링 미국 자문형랩 출시",0
"코스피, 미국 증시따라 강세 마감…시멘트·2차전지株 부각",1
"라인 링크(LN), 오는 4월부터 스테이킹 서비스 제공",0
전선업 진출하는 호반…2천518억원에 대한전선 인수(종합),0
"""한국전력, 31일 전기요금 인상 여부 발표가 이익 회복 승부처""-NH",0
 마이크론 호실적 발표에 반도체주 '강세',1
"'CEO 공백 장기화' KT, 52주 신저가",0
"감마누, '더에이치큐' 사명 변경…관광 플랫폼 구축",0
"가상자산 금융서비스 '하이퍼리즘', 보라 GC 합류",0
" 원/달러 환율 3.7원 내린 1,299.0원(마감)",0
세상에 없던 '쌍방향 미디어 플랫폼' 시동…31개 기업과 협업,0
"엑셈, 한전 스마트계량기 사업 수주…""파트너십 강화 기대""",1
美 신규실업수당청구 19만8000건…4분기 GDP는 2.6%↑,1
'강성부 펀드' 지분 매입…DB하이텍 또 다시 급등,1
"증권사 MZ세대 직원들, '이 교육' 받고 싶어 안달났다는데",0
"원/달러 환율 보합세…1,210원선 등락",0
VIP운용 '성과연동형 공모펀드' 첫 출시…대표가 직접 운용,0
"대신정보통신, 유승민 경기지사 출마 기대감에 급등",1
중개형 ISA로 '머니 무브'…주식 투자는 물론 세제 혜택도 쏠쏠,1
"SM, 이수만 떼고 3.0 닻 올렸다…새 대표이사에 장철혁(종합)",0
"""하이트진로, 가격 인상·거리두기 완화 효과…목표가 5%↑-하이",1
"엔시스, 코스닥 상장 첫날 급등…4만원 '돌파'",1
노랑풍선 '포스트 코로나' 채비…김진국 대표 신규 선임,0
"코스피, 유가 부담·인플레 우려에 하락…외인·기관 '팔자'",2
친환경주 화려한 부활…'바이든 인프라 투자안' 50% 친환경,1
"대신증권 ""풀무원, 1분기 영업이익 200% '급증' 전망""",1
"곡소리 나는 CJ ENM, 'K콘텐츠 넘버원'이라더니… [연예 마켓+]",0
인플레 완화-IRA 호재에 코스피·코스닥 상승출발,1
"이복현 금감원장 ""시장 불안정 계속되면 공매도 재개 검토 안 해""",2
"제임스 불러드 ""최종금리, 5% 이상으로 가야…내말 들어라""",0
" '1위 약속' 지킨 김남귀, 누적수익률 20% 돌파",1
OPEC+ 감산에 유가 6% 급등…1년만에 최대 상승폭 [오늘의 유가동향],0
"GC 자회사 진스랩, 장평주 대표이사 신규 선임",0
"코드, 국제자금세탁방지전문가협회(ACAMS)와 업무협약 체결",1
NFT 가격 70% 하락…'기술혁신 아니라 유동성 버블이었나',2
美 셰일 탐사·생산기업 ETF 주목할 만,0
" 원/달러 환율 0.7원 내린 1,315.8원(마감)",0
"적립식 투자 vs 저점서 매수…비트코인 수익률, 누가 더 높을까",0
"美 2월 일자리 수, 약 2년만에 1000만개 아래로",0
"한화증권 ""상반기 성장주 이익하락 추세 지속…3분기 개선 기대""",1
"환율, 투자심리 회복 속 보합…장 초반 1,214원대 등락",0
"금감원-중기부, 전통시장 상인 금융사기 예방 MOU 체결",1
"미 웨드부시, 테슬라 목표주가 1천달러로 상향",1
"""쌍용차 인수 어려워""…주가는 상한가 반등",1
"대명에너지, 400억 규모 CB·BW 납입 완료[주목 e공시]",0
 (5일) 켐트로닉스,0
"""3월 DEX 거래량 1331억 달러…지난해 5월 이후 최대치""",1
"""생산 정상화 가시성 높아져야…현대차 목표가 12.5%↓""-하이",2
"네오핀, 여행 플랫폼 트립비토즈와 맞손…'차세대 웹3 여행 플랫폼' 구축 나선다",0
'BTS 지민 빌보드 1위'에 주가 상승…하이브 주주들 '환호',1
"디엑스앤브이엑스, 지아이비타와 건강관리 서비스 개발 MOU",1
"카카오, 7%대 강세…장중 54만원도 '돌파'",1
"""美 경기 침체 우려""…코스피, 기관·외인 매도세에 2450선 '후퇴'",2
송치형 두나무 회장 '가상자산 부자 세계 8위',1
"""한국전력, 전기요금 인상 지연돼 적자 늘어나…목표가↓""-신영",2
" '상생·성장' 나선 카카오, 2거래일째 '약세'",2
'올해 큰 거 온다' 블핑에 GD까지…증권가 톱픽은 '이 회사',0
코로나 재확산세…'酒가' 어찌하오리까,0
"NH투자증권, 해외부동산 투자 및 해외자산 상속·증여 컨설팅 MOU 체결",1
"DXVX, 92억2천300만원 규모 3자배정 유상증자",0
"2,700선 깨지자 1.3조 순매수...'6만전자' 연저점",0
"4월 첫째 주, 마켓PRO 핫종목·주요 이슈 5분 완벽정리 [위클리 리뷰]",0
"원/달러 환율, 안전자산 선호에 상승…장 초반 1,222원대",1
"희림, 303억 규모 리모델링사업 설계용역 계약[주목 e공시]",1
"""역대급 실적에도 이틀째 신저가""…맥 못추는 '삼성전자'",0
 (9일) 보통주추가상장=카카오 등,0
"에이치엘사이언스, '우슬조인트100' 몽드셀렉션 금상 수상",1
"""코인 누구나 쉽게 만들어…거래 활발한지 먼저 살펴봐야""",0
"아비트럼 커뮤니티, '7억 ARB 다오에 반환' 제안",0
"'788억원 유상증자' 셀바스AI, 장 초반 17%대 급락",2
"블록체인 R&D 기술기업 온더, 24일 '2023 부산 블록체인 컨퍼런스' 개최",0
"코스피, 8개월 만에 2500선 마감…외인 매수세에 2차전지 파워",1
"케일럼, 100억원 유상증자…그린테크시스템에 제3자배정",0
"""LG화학, 하반기 차별화된 실적 개선에 주가 재평가 기대""-신한",1
"넥스턴바이오, 이브이첨단소재 지분 확대…장초반 16% '급등'",1
"두빛나래소프트, 주관사로 IBK證 선정…""내년 코스닥 상장 추진""",0
'英 록스타' 데이비드 보위 미공개 곡 …갈라뮤직서 NFT로 한정 발행,0
"코스피, 외국인 '팔자'에 하락 마감…LG엔솔 3%↓",2
"코스피, 금리 동결 효과로 외국인·기관 매수...1.4% 상승",1
"아발란체(AVAX) 기반 샤프넬, 토큰 세일로 700만달러 조달",0
"""21개 비트코인 채굴 상장사, 시총 150억달러 넘어""",1
"하나증권, 에코프로 '매도' 의견…""5년 후 예상 가치 넘어서""",2
"GS글로벌, EU 러시아 석탄 수입 금지에 이틀 연속 상승",1
"포스코홀딩스, 혼다와 전기차 협력 강화…주가 7%↑",1
"큐리언트, AACR서 'Q901' 내성 유방암 치료효과 발표",1
"금감원, 외부감사 대상회사 외부감사인 선임 관련 온라인 설명회 개최",0
" 메릴린치 ""현대차, EPS 가치 저평가…매수 추천""",1
고개드는 보복소비…삼성카드 주가 탄력받을까,1
"NH투자증권, QV대여풀 서비스 가입 이벤트 진행",0
"주춤하는 이차전지…""대형주에 눈 돌릴 때"" [증시프리즘]",0
"소프트뱅크, 디파이 인프라 개발사 블록스루트에 투자",0
 (13일) 변경상장=라이브플렉스→ES큐브 등,0
[코스피·코스닥 전 거래일(12일) 주요공시],0
"""英 투자자 3대주주 됐다""…LG 주가 장 초반 '강세'",1
"코스피, 기관 매수세에 상승 출발…삼성전자 '반등'",1
"에코프로비엠, '화재' 오창공장 가동 재개에 강세",1
"""펌텍코리아, 신규 고객사 확보로 1분기 최대 매출 전망""",1
"지놈앤컴퍼니 ""신규 표적 'CNTN-4', 위암 생존율과 연관""",0
"키움증권, 부동산 수익증권 거래 플랫폼 펀블과 MOU",1
"국민의힘, 가상자산특위→디지털자산특위로 확대 개편 전망",0
"새내기株 상장 첫날, 4배까지 오를 수 있다",1
"""블랙록 CEO, 가상자산 연구하고 있다""",0
 (13일) 하나제약,0
"아스트라 프로토콜, 트럼프 정권 비서실장 대행 믹 멀베이니 영입",0
"""LG전자, 가전 사상 최대 실적 전망""-KB",1
"HK이노엔, 중국서 품목허가 획득에 강세",1
에코프로 사흘 만에 반등…이차전지주 대거 급등,1
"LS전선아시아, 1분기 영업익 68억…전년比 12.8%↑[주목 e공시]",1
"우정바이오, GMP제조소·동물실험실 구축 계약에 '상승'",1
"현대미포조선, 2308억 규모 P/C선 4척 수주 계약 체결[주목 e공시]",1
"현대약품, 한양대 맞춤의약연구원과 업무협약 체결",1
"버핏의 버크셔해서웨이, 1조6천억 규모 엔화채권 발행",0
포스코홀딩스 1분기 영업이익 2조3천억원…작년 대비 43.9%↑,1
 (15일) 변경상장=경남바이오파마→블루베리NFT 자안→자안바이오 등,0
美 국채 금리 2.8% 돌파에 '하락'…나스닥 2.14% '급락'[뉴욕증시 브리핑],0
美 국채 금리 2.8% 돌파에 '하락'…나스닥 2.14% '급락'[뉴욕증시 브리핑],0
"""애플폰 효과 하루로""..힘 못받는 자화전자",2
"마이클 세일러 ""비트코인으로 주주 가치 높였어…엄청난 성공 거둬""",1
"""없어서 못판다""…LG전자, 미국 세탁기공장 증설",0
"미국 긴축 경계감에 원/달러 환율 상승…1,230원 턱밑 마감",0
"은성수 금융위원장 ""공매도 재개는 정상화로 가는 것""",0
"크라운제과, 상한가…""윤석열 제3지대 신당 합류?""",0
 (16일) 쌍용자동차 등,0
"긴축 공포에 2700선 내준 코스피…""기업 실적 주목해야"" [주간전망]",2
"""LIG넥스원, 증설·연구 개발비 발생해 영업익 줄어들 것…목표가↓""-NH",2
"멀티체인 대출 프로토콜 '헌드레드 파이낸스', 옵티미즘서 700만달러 해킹 손실",0
"금융당국 ""종투사 해외법인 대출 규제 완화 추진""",1
"2년넘게 속썩인 바이오株…""투자할때 따져야할 변수는""",0
"""국산 코로나 백신 나오나?""..SK바사 '강세'",1
"100만원 넘보는 주가…""신사업에 달렸다""",0
"아비트럼 커뮤니티, '7억 ARB 4년 간 언락 제안' 등 최종 가결",0
"코스피, 개인 매수에 강보합 전환…장중 2700선 터치하기도",1
 천성호 교보증권 금융상품감리 부장 배우자상,0
"쓸어담은 개미 울고, 내던진 외국인 웃었다",2
"""카카오, 하반기로 갈수록 실적 회복 예상""-한국",1
" 원/달러 환율 0.7원 오른 1,117.0원(개장)",0
'또 상한가' 사료 관련주 줄줄이 초강세,1
중국 경제 회복 조짐에 리오프닝주 '훈풍',1
"미래에셋증권, 1분기 퇴직연금 적립금 증가율 1위",1
(마감)코스피 기관 3604억 매수 우위,1
(마감)코스피 기관 1157억 매도 우위,2
 (20일) 구주주청약=다원시스 등,0
"""한국금융지주, 1분기 업황 좋았지만 투심 회복에 시간 필요""-NH",0
MZ·여성 '골린이' 대거 유입에…골프웨어株 '나이스샷',1
"""상장 실질심사 대상서 제외""…골드퍼시픽, 거래 재개 첫날 '上'",1
코스피 美 긴축 우려에도 반등…개인 홀로 '사자',1
" ""유럽리츠 비중 줄여야…美 최선호 리츠는 산업·노인주거용""",1
" 코스피, 3개월 만에 사상 최고치 경신",1
중소 거래소 9월께 대거 문 닫을 수도,2
"""코스닥 조정에 매수""…'8만전자' 데자뷔 [증시프리즘]",1
"“콜마비앤에이치, 1분기 실적 감소 예상…2분기 회복 기대”",0
"에스엠코어, 313억 규모 자동공장 공급 계약…52주 최고가 경신",1
"유틸렉스, 이중항체 면역항암제 'EU505' 위탁개발생산 계약",1
"코원플레이, 파산신청 기각[주목 e공시]",0
"메타비트, 글로벌 탈중앙화 거래소 유니스왑에 BEAT 상장",0
우리금융지주 1분기 영업이익 9천333억원…작년 대비 20.7%↑,1
"키움증권, '키움히어로즈 파트너데이' 실시…테슬라 주식 쏜다",0
 (21일) 네패스아크 등,0
"""10년 버티니 드디어""…한화에어로스페이스 '존버' 통했다 [윤현주의 主食이 주식]",0
"코스피, 美국채금리 급등에 하락 출발…장중 2700선 붕괴",2
"'화상회의' 퍼시스, 연일 상한가…코로나 재확산 우려",0
신한지주 1분기 영업이익 1조9천60억…작년 동기 대비 13.3%↑,1
KB금융 1분기 영업이익 1조7천472억원…작년 동기 대비 68.1%↑,1
"코인베이스, 최대 4% 가상자산 적립 혜택 카드 출시",0
알트코인 '무더기 상장'으로 대박난 암호화폐 거래소…투자자 보호엔 '구멍',0
"지구의 날, 국내 최초 자발적 탄소 거래 플랫폼 '팝플' 오픈",0
"이엔코퍼레이션, 친환경 폐기물 체질개선 분석에도 약세",2
현대위아 1분기 영업이익 274억원…작년 동기 대비 67.6%↓,2
암호화폐 '검은 금요일'…비트코인 6000만원 붕괴,2
"""에스엠, 중장기 실적 개선 전망…목표가↑""-흥국",1
"코스피, 장 초반 약세…삼성·하이닉스 1%대 하락",2
"현대로템, 신용등급 전망 상향에 52주 신고가",1
" ""2차전지 잇는 반도체·바이오, 대장주를 주목하라""",0
천보 1분기 영업이익 16억원…작년 동기 대비 90.9%↓,2
"""현대모비스, 외형 성장에도 이익 정체…목표가↓""-메리츠",2
 케이피에스 주가 시원찮네…자회사 IPO 이어 합병 논의 중,0
SG증권발 매물 폭탄주 또 폭락…이틀 연속 '하한가',2
포스코 ICT 1분기 영업이익 180억원…흑자 전환,1
"미투온, P2E 게임 '엑스 히어로즈 NFT 워' 글로벌 정식 출시",0
"Sh수협은행, 1분기 순익 842억원…전년 대비 24%↑",1
" 원/달러 환율 2.6원 내린 1,332.2원(마감)",0
기아 1분기 '어닝 서프라이즈'…매출·영업익 모두 역대 최대,1
"'롤러코스터' 코인, 큰코다치지 않으려면…",0
"2차전지 수혜주 이아이디, 'CB 폭탄'에 오버행 '경고등'...추가 물량 대기 중",0
"NH투자증권, 투자 콘텐츠 구독서비스 '나무 멤버스' 출시",0
"'어닝서프라이즈' 현대차, 호실적 지속 전망에 '신고가'",1
포스코 1분기 영업이익 1조5천524억원…작년 동기 대비 120%↑,1
"SK텔레콤, MSCI 제외 가능성 커져…현대중공업 편입되나",0
"LG엔솔, 북미시장 성장세에 '깜짝실적'…IRA 세액공제 수혜도(종합2보)",1
기업은행 1분기 영업이익 7천803억원…작년 동기 대비 18%↑,1
한미약품 1분기 영업이익 605억원…작년 동기 대비 47.9%↑,1
아난티 1분기 영업이익 354억원…작년 동기 대비 64.2%↑,1
현대제철 1분기 영업익 3천339억원…전분기 대비 흑자전환(종합),1
"""화폐로 인정 안하면서 과세하나"" vs ""소득 있는곳에 세금 부과는 당연""",0
"""현대차, 수익성 개선과 주주환원 양호""…목표주가↑",1
"""이커머스 전방시장 둔화…카카오페이 목표가 13%↓""-교보",0
"""가격제한폭 확대 8년…첫 4연속 하한가 터졌다""",0
"SK증권, 1천500억 규모 인천도시공사 ESG채권 대표 주관",0
"유진그룹 계열사 동양, 572억 기숙학원 신축공사 수주",1
"""임창정이 당했다고? 나는 망했다""…개미들 '패닉'",0
현대글로비스 1분기 영업이익 4천66억원…작년 동기 대비 4.6%↓,2
오스템임플란트 상장 유지키로…거래정지 4개월 만,0
" LG전자, 1분기 영업익 1.5조 '깜짝실적'…가전 첫 1조 넘어",1
LG전자 1분기 '깜짝 실적'…TV·가전 영업익은 삼성전자 6배(종합),1
외국환시세(4월27일·마감가),0
(마감)코스피 외국인 6786억 순매도,2
포스코홀딩스 1분기 영업익 7천47억원…작년 동기 대비 69.6%↓(종합),2
"""대기업 사외이사 보수 2년전보다11%↑…작년 평균 5천410만원""",1
"카카오페이, 美 종합증권사 '시버트' 인수 추진",0
" (28일) 공모주청약=SKIE테크놀로지(미래, 한국) 등",0
"""2년4개월 만에 거래 재개""…KG모빌리티 급등세",1
"LG화학, 업황 부진 속 호실적에 강세",1
"DB, 1분기 영업익 160억…전년 대비 57.9%↑[주목 e공시]",1
엘비세미콘 1분기 영업이익 106억원…작년 동기 대비 23.3%↑,1
LX인터내셔널 1분기 영업이익 2천457억원…작년 대비 116.9%↑,1
"대웅제약, 올해 1분기 영업이익 268억원…32.6% 증가",1
"KH필룩스, 상장폐지 이의신청서 제출[주목 e공시]",0
" 원/달러 환율 2.6원 오른 1,113.0원(마감)",1
"""환율 1,300원도 가능""…경기 어려운데 물가충격 우려",0
"넥슨, 비트코인 투자…1억달러어치 사들여",0
"아바코, 1분기 영업손실 72억…전년비 26.7%↓[주목 e공시]",2
"""마스크 진짜 벗는다""…새옷 입고 날개 펴는 의류株",0
"코스피, 소폭 상승…""전날 급락에 반발 매수 나타나""",1
"""드디어 마스크 벗는다""…화장품株 '들썩'",0
현대중공업 1분기 영업이익 284억원…작년 동기 대비 9%↓,2
"코스피 1%대 상승 마감…2,690대",1
"위험선호 심리 회복…원/달러 환율 1,108.2원 마감",1
롯데칠성음료 1분기 영업이익 416%↑…주류 흑자전환(종합),1
"클레이튼, 가스비 시범 인하...약 100만KLAY 소각 예정",0
"지방금융지주, 깜짝 실적에 '신고가'…""배당 확대 기대""[이슈+]",1
파트론 1분기 영업이익 158억원…작년 동기 대비 32.7%↑,1
"""공매도 여부·대주주 개입 조사""…금융당국 본격 수사 전환",0
"마이크로스트래티지, 1분기 손상차손 1890만달러…비트코인 랠리로 손실 폭↓",0
"“한미약품, 하반기 연구개발 성과 가시화로 호실적 이어갈 것”",1
"코스피, 외국인 '사자'에 상승…코스닥도 '빨간불'",1
BTS 군대 가도 솔로로 선방…하이브 분기 영업익 41.5%↑(종합),1
금호석유화학 1분기 영업이익 1천302억원…작년 동기 대비 71%↓,2
"시티랩스, 한국형 모빌리티 산업 발전 기업 협의체 참여",1
"시티랩스, 한국형 모빌리티 산업 발전 기업 협의체 참여",1
"FOMC 경계감은 커녕…기관, 레버리지 올라탔다",0
DL 1분기 영업이익 323억원…작년 동기 대비 51.1%↓(종합),2
부인 반대에도…8년 전 비트코인 투자한 '천재 남편' [임현우의 비트코인 나우],0
"""BGF리테일, 양호한 주가 흐름 전개 예상""-대신",1
"녹십자, 코로나19 영향으로 자회사 호실적…독감백신 수출도 긍정적-대신",1
FOMC·美은행 우려감...개인만 홀로 순매수,0
"안랩, 안철수 보궐선거 출마설에 이틀째 강세",1
KG스틸 1분기 영업이익 813억원…작년 동기 대비 15.3%↓,2
비트코인 '7000만원 회복'…은성수發 하락 벗어났다,1
코오롱인더 1분기 영업이익 639억원…작년 동기 대비 11.1%↓(종합),2
"원·달러 환율, FOMC 앞두고 하락세…1338원에 장 마감",0
외국인 1조 '공매도 폭탄'…개미 많이 산 종목에 집중 포화,0
"'하따' 푹빠진 동학개미…""잃는게 더 많다""",0
"지난해 신용평가 등급하향 조정 우위 계속…""코로나19 충격 점차 회복 중""",0
"카카오, 예상치 하회하는 1분기 실적 발표에 주가 '휘청'",2
"국내증시, FOMC 앞두고 숨고르기…코스피 2,690선 출발",0
"초록뱀미디어 ""최대주주 등 임원들, 181억 유상증자 참여""",0
비에이치 1분기 영업이익 89억원…작년 동기 대비 60.2%↓,2
"HDC현대산업개발, 3858억 규모 신월2 재건축정비 수주 [주목 e공시]",1
" 원/달러 환율 1.4원 내린 1,122.6원(마감)",0
" 원/달러 환율 15.4원 내린 1,322.8원(마감)",0
(마감)프로그램 96억 매수 우위,1
" ECB, 기준금리 0.25%P 인상",0
"엎친데 덮친 파라다이스, 실적 부진에 공매도 재개 '휘청'[분석+]",2
"""아직 전쟁 한창인데""…우크라이나 재건 테마株 '들썩'",1
美 기술주 폭락 '후폭풍'…신저가 경신하는 포털·게임,2
美 금리 인상 기대감에 은행주 강세…'52주 신고가' 잇따라,1
美 지역은행주 급반등…팩웨스트 82%↑,1
현대백화점 1분기 영업이익 650억원…작년 동기보다 336.3%↑,1
(마감)프로그램 4096억 매도 우위,2
'도지·비트코인캐시' 주춤…이더리움클래식은 상승세 [코인 시세],0
"CJ대한통운, 1분기 영업익 481억원…전년비 17%↓",2
콜마비앤에이치 1분기 영업이익 284억원…작년 대비 17.9%↑,1
"""한국금융지주, 높아진 건전성 부담…목표가↓""-이베스트",0
"'테라·루나 사태' 전담 수사 검사, 신현성 변호 로펌으로 이직…""부적절"" 논란",0
"비트코인, 3만4000달러대까지 밀려…美 금리인상 '쇼크' 지속",0
"중국 당국 규제에도, 중국인 가상자산 거래 활발…""완전 근절 어려워""",0
한국항공우주산업 1분기 영업이익 194억원…작년 대비 50.6%↓,2
"""네이버, 1분기 실적 컨센서스 부합…하반기 커머스 주목""",1
"""K-콘텐츠에겐 오히려 기회""…콘텐트리중앙 '강세'",1
힘 못 쓰는 반도체·자동차…국내 증시 일제히 하락 출발,2
"檢, 라덕연 체포…주가 폭락 사태 보름 만",0
한섬 1분기 영업이익 591억원…작년 동기 대비 30.7%↑,1
"현대백화점, 1분기 영업익 779억…전년비 12.4%↓[주목 e공시]",2
"환율 장중 연고점 경신…1.3원 오른 1,274원 마감",0
"암호화폐 채굴자 과세, 전기료는 '필요 경비'로 빼줘",0
키움증권 1분기 영업이익 3천889억원…작년 동기 대비 82.4%↑,1
"저커버그 ""이번주부터 인스타그램에서 NFT 테스트""",0
"""키움증권 최근 금융상품 이슈, PF 리스크보다 낫다""-NH",1
"""신작 공백 메운 실적…크래프톤, 게임주 군계일학""",0
"'호실적' CJ제일제당, 급락장 속 강세",1
코웰패션 1분기 영업이익 203억원…작년 동기 대비 12.1%↑,1
NHN 1분기 적자 전환…영업이익 작년 대비 38.2%↓(종합2보),2
"SKT 1분기 영업익, 전년동기비 14% 증가…""신사업 실적이 견인""(종합)",1
"모처럼 '시총 5000억 공모주'…기가비스, 코스닥 도전장",0
